"_id","name","purchase","cost","quantity","size","school","house","details","imgURL","category","connectingID"
"5ffaeefebae6c4239b98085c","Light Blue Jeans","2342","2642","6","26","Beacon House School Systems","Jinnah; Iqbal; Sir Syed","Remarkable pants. hand woven with great love and passion !","https://freepngimg.com/thumb/dress%20shirt/16-dress-shirt-png-image.png","pant","3"
"5ffaeefebae6c4239b98085d","Light Blue Jeans","2342","2642","3","28","Beacon House School Systems","Jinnah; Iqbal; Sir Syed","Remarkable pants. hand woven with great love and passion !","https://freepngimg.com/thumb/dress%20shirt/16-dress-shirt-png-image.png","pant","3"
"5ffaeefebae6c4239b980863","Ribbon Tie Blue","2440","3020","35","M","Happy Home School","Qasim Company","Our ties are best in gradient matching and life.","https://freepngimg.com/thumb/dress%20shirt/18-dress-shirt-png-image.png","tie","4"
"5ffaeefebae6c4239b98085e","Light Blue Jeans","2342","2642","4","30","Beacon House School Systems","Jinnah; Iqbal; Sir Syed","Remarkable pants. hand woven with great love and passion !","https://freepngimg.com/thumb/dress%20shirt/16-dress-shirt-png-image.png","pant","3"
"5ffaeefebae6c4239b980860","Light Blue Jeans","2342","2642","4","34","Beacon House School Systems","Jinnah; Iqbal; Sir Syed","Remarkable pants. hand woven with great love and passion !","https://freepngimg.com/thumb/dress%20shirt/16-dress-shirt-png-image.png","pant","3"
"5ffaeefebae6c4239b98085f","Light Blue Jeans","2342","2642","6","32","Beacon House School Systems","Jinnah; Iqbal; Sir Syed","Remarkable pants. hand woven with great love and passion !","https://freepngimg.com/thumb/dress%20shirt/16-dress-shirt-png-image.png","pant","3"
"5ffaeefebae6c4239b980861","Light Blue Jeans","2342","2642","1","36","Beacon House School Systems","Jinnah; Iqbal; Sir Syed","Remarkable pants. hand woven with great love and passion !","https://freepngimg.com/thumb/dress%20shirt/16-dress-shirt-png-image.png","pant","3"
"5ffaeefebae6c4239b980862","Elastic Tie Blue","2440","3020","45","S","Happy Home School","Qasim Company","Our ties are best in gradient matching and life.","https://freepngimg.com/thumb/dress%20shirt/18-dress-shirt-png-image.png","tie","4"
"5ffaeefebae6c4239b980864","Cloth Tie Blue","2440","3020","24","L","Happy Home School","Qasim Company","Our ties are best in gradient matching and life.","https://freepngimg.com/thumb/dress%20shirt/18-dress-shirt-png-image.png","tie","4"
"5ffaeefebae6c4239b980865","Sweater","1649","1649","8","XS","Garrison Acadamy","Jinnah; Iqbal; Sir Syed","Remarkable pants. hand woven with great love and passion !","https://freepngimg.com/thumb/dress%20shirt/9-dress-shirt-png-image.png","sweater","1"
"5ffaeefebae6c4239b980866","Sweater","1649","1649","12","S","Garrison Acadamy","Jinnah; Iqbal; Sir Syed","Remarkable pants. hand woven with great love and passion !","https://freepngimg.com/thumb/dress%20shirt/9-dress-shirt-png-image.png","sweater","1"
"5ffaeefebae6c4239b980867","Sweater","1649","1649","12","M","Garrison Acadamy","Jinnah; Iqbal; Sir Syed","Remarkable pants. hand woven with great love and passion !","https://freepngimg.com/thumb/dress%20shirt/9-dress-shirt-png-image.png","sweater","1"
"5ffaeefebae6c4239b980869","Full Sleeve Shirt","1999","1999","41","XXS","FG Quaid e Azam School","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/21-dress-shirt-png-image.png","shirt","5"
"5ffaeefebae6c4239b98086a","Full Sleeve Shirt","1999","1999","41","XS","FG Quaid e Azam School","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/21-dress-shirt-png-image.png","shirt","5"
"5ffaeefebae6c4239b98086c","Full Sleeve Shirt","1999","1999","8","M","FG Quaid e Azam School","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/21-dress-shirt-png-image.png","shirt","5"
"5ffaeefebae6c4239b98086d","Full Sleeve Shirt","1999","1999","7","L","FG Quaid e Azam School","Jinnah; Iqbal; Sir Syed","A quality product comes in refine taste.","https://freepngimg.com/thumb/dress%20shirt/21-dress-shirt-png-image.png","shirt","5"
"601156d36bf4ea10a6812e89","7am Logo Tag","1400","2200","10","XXL","Beacon House School Systems","Jinnah; Iqbal; Sir Syed","Remarkable shoes hand woven with great love and passion !","http://res.cloudinary.com/miscellaneous/image/upload/v1611749484/7am/6011586a4f77f010d8644bb3.png","Pants","3"
